,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var5(t)
233,0.26261002,0.34194702,0.0,0.0,0.23678333,0.23827252
234,0.26834777,0.3662482,0.0,0.0,0.23827252,0.20625465
235,0.27307504,0.3017335,0.0,0.0,0.20625465,0.23529412
236,0.27799,0.31371543,0.0,0.0,0.23529412,0.26135516
237,0.28268766,0.2998416,0.0,0.0,0.26135516,0.26061058
238,0.28797084,0.33722466,0.0,0.0,0.26061058,0.28816083
239,0.2956698,0.49146453,0.0,0.0,0.28816083,0.28965002
240,0.30194435,0.4005221,0.0,0.0,0.28965002,0.26656738
241,0.30811787,0.39406916,0.0,0.0,0.26656738,0.24646315
242,0.31385514,0.36621886,0.0,0.0,0.24646315,0.29486224
243,0.31877446,0.31399408,0.0,0.0,0.29486224,0.28741622
244,0.32338232,0.2941073,0.0,0.0,0.28741622,0.30677587
245,0.32789484,0.288021,0.0,0.0,0.30677587,0.3142219
246,0.3331633,0.33628604,0.0,0.0,0.3142219,0.28592703
247,0.3378203,0.29724577,0.0,0.0,0.28592703,0.21667908
248,0.3423962,0.29206875,0.0,0.0,0.21667908,0.22114669
249,0.34668407,0.2736779,0.0,0.0,0.22114669,0.25018615
250,0.35023642,0.2267181,0.0,0.0,0.25018615,0.23529412
251,0.35284218,0.16628048,0.0,0.0,0.23529412,0.25614297
252,0.35703677,0.2677236,0.0,0.0,0.25614297,0.26433358
253,0.36106968,0.25739887,0.0,0.0,0.26433358,0.23901713
254,0.36447412,0.21727335,0.0,0.0,0.23901713,0.18689501
255,0.3681243,0.23296572,0.0,0.0,0.18689501,0.16753536
256,0.37091842,0.1783064,0.0,0.0,0.16753536,0.20104244
257,0.37377316,0.18217817,0.0,0.0,0.20104244,0.22114669
258,0.37687346,0.19785587,0.0,0.0,0.22114669,0.22859271
259,0.38060316,0.23804007,0.0,0.0,0.22859271,0.24646315
260,0.38403744,0.2191799,0.0,0.0,0.24646315,0.26880118
261,0.38780046,0.24016662,0.0,0.0,0.26880118,0.22114669
262,0.391379,0.22839001,0.0,0.0,0.22114669,0.16306776
